SITE,DATE,TIME,TYPE,SEASON,SIZE,GEO,FLOWCMS,Cl,TDS,TSS,S04,TotAlk,Hard,CdDis,CdTot,DFCr,CrDis,CrTot,DFCr,CuDis,CuTot,DFCu,FeDis,FeTot,DFFe,PbDis,PbTot,DFPb,MnDis,MnTot,DFMn,NiDis,NiTot,DFNi,SeDis,SeTot,DFSe,ZnDis,ZnTot,DFZn
ACC,5/22/2012,9:15,D,S,M,IM,0.006,25.23,257.35,0.50,48.46,103.50,114.60,0.003,0.003,0.00,0.035,0.020,1.00,0.35,0.21,1.00,71.30,105.65,0.00,0.012,0.023,0.00,8.80,11.56,0.00,0.69,0.78,0.00,0.135,0.100,1.000,0.35,0.56,0.00
ACC,6/5/2012,8:30,D,S,M,IM,0.000,29.11,356.00,0.80,51.63,115.30,118.20,0.003,0.003,0.00,0.060,0.010,1.00,0.23,0.22,1.00,63.68,96.29,0.00,0.035,0.055,0.00,14.23,19.86,0.00,0.85,0.84,1.00,0.110,0.110,0.000,1.03,1.89,0.00
ACC,1/31/2013,12:00,D,W,M,IM,0.052,29.84,308.00,0.03,83.93,100.50,125.00,0.009,0.010,0.00,0.065,0.020,1.00,0.57,0.59,0.00,30.29,36.93,0.00,0.008,0.050,0.00,7.65,9.00,0.00,0.69,0.79,0.00,0.660,0.690,0.000,1.48,1.55,0.00
ACC,2/13/2013,12:10,D,W,M,IM,0.014,29.25,291.00,0.03,85.40,86.10,132.00,0.003,0.013,0.00,0.155,0.200,0.00,0.19,0.72,0.00,24.84,75.67,0.00,0.006,0.035,0.00,8.36,19.73,0.00,0.55,0.60,0.00,0.010,0.460,0.000,0.50,0.62,0.00
ACC,2/26/2013,13:20,D,W,M,IM,0.020,28.47,268.00,0.03,76.15,82.00,114.00,0.003,0.003,0.00,0.005,0.005,0.00,0.66,0.27,1.00,22.46,30.25,0.00,0.012,0.003,1.00,5.64,6.62,0.00,0.54,0.61,0.00,0.240,0.355,0.000,1.70,2.73,0.00
ACC,3/13/2013,8:45,D,W,M,IM,0.017,26.00,269.00,1.00,64.50,83.10,106.50,0.007,0.014,0.00,0.060,0.050,1.00,1.00,1.00,0.00,12.00,22.00,0.00,0.003,0.005,0.00,1.00,5.00,0.00,1.00,1.00,0.00,0.020,0.020,0.000,2.00,2.00,0.00
ACC,3/26/2013,9:45,D,W,M,IM,0.012,29.25,318.00,0.03,83.82,82.00,123.50,0.013,0.003,1.00,0.040,0.020,1.00,0.62,0.68,0.00,24.27,36.98,0.00,0.006,0.015,0.00,7.32,9.37,0.00,0.72,0.80,0.00,0.170,0.330,0.000,0.70,1.71,0.00
ACC,4/9/2013,9:25,D,S,M,IM,0.009,27.71,287.00,0.03,77.45,75.85,129.40,0.010,0.006,0.00,0.030,0.040,0.00,0.61,0.55,1.00,21.48,39.30,0.00,0.006,0.021,0.00,6.03,8.34,0.00,0.75,0.79,0.00,0.160,0.170,0.000,0.68,1.86,0.00
ACC,4/23/2013,10:45,D,S,M,IM,0.008,29.84,336.50,0.03,85.85,100.50,143.50,0.010,0.003,1.00,0.040,0.050,0.00,0.47,0.53,0.00,18.26,32.75,0.00,0.003,0.012,0.00,6.73,9.67,0.00,0.74,0.78,0.00,0.120,0.140,0.000,0.66,1.35,0.00
ACC,5/10/2013,10:55,D,S,M,IM,0.008,30.16,300.00,0.50,73.87,100.40,129.60,0.003,0.003,0.00,0.030,0.055,0.00,1.27,0.48,1.00,19.25,23.72,0.00,0.003,0.010,0.00,3.17,4.33,0.00,0.74,0.74,0.00,0.090,0.150,0.000,0.34,0.78,0.00
CONC,5/23/2013,10:00,D,S,L,IM,0.000,90.30,460.00,2.45,28.15,252.13,261.50,0.005,0.005,0.00,0.045,0.025,1.00,0.19,0.20,0.00,69.12,142.70,0.00,0.003,0.020,0.00,17.59,31.57,0.00,0.21,0.25,0.00,0.105,0.125,0.000,0.27,0.58,0.00
CONC,6/8/2013,10:25,D,S,L,IM,0.001,109.35,338.70,1.85,23.13,285.00,297.25,0.079,0.005,1.00,0.105,0.070,1.00,0.36,0.38,0.00,63.28,213.47,0.00,0.009,0.016,0.00,141.06,165.49,0.00,0.27,0.28,0.00,0.100,0.170,0.000,0.38,0.51,0.00
KC,4/9/2012,10:10,D,S,M,IM,0.005,25.04,230.00,0.03,8.81,183.60,165.00,0.003,0.003,0.00,0.060,0.075,0.00,0.31,0.28,1.00,28.80,48.39,0.00,0.014,0.012,0.00,3.76,4.70,0.00,0.21,0.22,0.00,0.060,0.060,0.000,14.66,17.33,0.00
KC,4/23/2012,11:00,D,S,M,IM,0.005,23.97,242.70,0.03,8.04,178.00,158.30,0.003,0.003,0.00,0.190,0.090,1.00,0.32,0.22,1.00,40.87,62.55,0.00,0.003,0.011,0.00,5.47,7.19,0.00,0.19,0.21,0.00,0.070,0.060,1.000,55.09,61.84,0.00
KC,5/7/2012,10:40,D,S,M,IM,0.005,23.76,269.30,0.03,7.45,185.20,168.40,0.003,0.003,0.00,0.070,0.050,1.00,0.26,0.27,0.00,25.70,44.93,0.00,0.003,0.010,0.00,2.80,4.74,0.00,0.19,0.19,0.00,0.070,0.050,1.000,28.31,33.68,0.00
KC,5/21/2012,11:45,D,S,M,IM,0.005,24.90,260.00,0.80,6.94,187.60,170.50,0.003,0.003,0.00,0.080,0.060,1.00,0.19,0.30,0.00,24.50,42.60,0.00,0.006,0.021,0.00,1.90,4.30,0.00,0.23,0.22,1.00,0.070,0.080,0.000,0.36,0.66,0.00
KC,6/7/2012,10:23,D,S,M,IM,0.006,25.49,268.65,1.80,6.53,188.60,177.60,0.003,0.003,0.00,0.100,0.100,0.00,0.30,0.34,0.00,39.10,84.05,0.00,0.003,0.020,0.00,4.60,8.70,0.00,0.20,0.20,0.00,0.050,0.080,0.000,0.30,0.55,0.00
KC,6/18/2012,10:25,D,S,M,IM,0.030,24.95,295.30,0.58,4.94,194.75,178.35,0.005,0.005,0.00,0.240,0.080,1.00,0.22,0.23,0.00,72.74,108.14,0.00,0.003,0.012,0.00,3.65,6.77,0.00,0.18,0.21,0.00,0.055,0.050,0.000,0.30,0.21,1.00
KC,1/31/2013,8:15,D,W,M,IM,0.006,30.41,295.00,0.03,14.87,194.80,172.20,0.010,0.003,1.00,0.050,0.050,0.00,0.42,0.42,0.00,12.08,17.24,0.00,0.008,0.003,0.00,1.75,1.89,0.00,0.17,0.24,0.00,0.340,0.270,1.000,50.34,51.88,0.00
KC,2/13/2013,8:40,D,W,M,IM,0.007,27.59,273.00,0.70,11.72,196.80,169.20,0.003,0.003,0.00,0.170,0.090,1.00,0.19,0.53,0.00,11.38,13.91,0.00,0.003,0.007,0.00,2.30,2.71,0.00,0.02,0.01,1.00,0.220,0.270,0.000,0.29,0.18,1.00
KC,2/26/2013,8:40,D,W,M,IM,0.007,.,260.00,0.03,11.34,170.10,163.80,0.003,0.003,0.00,0.005,0.005,0.00,0.42,0.23,1.00,10.74,14.69,0.00,0.009,0.003,1.00,1.94,2.02,0.00,0.18,0.12,1.00,0.160,0.200,0.000,5.88,1.33,1.00
KC,3/14/2013,7:30,D,W,M,IM,0.007,29.25,315.00,0.03,12.10,177.50,174.00,0.008,0.009,0.00,0.150,0.100,1.00,0.91,0.70,1.00,5.75,5.01,1.00,0.007,0.003,0.00,0.66,0.08,1.00,0.30,0.30,0.00,0.490,0.250,1.000,0.13,0.40,0.00
KC,3/26/2013,6:30,D,W,M,IM,0.007,28.26,285.00,0.03,10.09,184.00,166.50,0.007,0.005,0.00,0.100,0.110,0.00,0.68,0.64,1.00,15.90,20.70,0.00,0.003,0.009,0.00,3.57,4.44,0.00,0.22,0.23,0.00,0.110,0.170,0.000,1.63,1.50,1.00
KC,4/9/2013,6:45,D,S,M,IM,0.007,28.45,260.00,0.03,8.26,115.80,169.40,0.009,0.007,0.00,0.070,0.100,0.00,1.11,0.49,1.00,14.50,39.60,0.00,0.007,0.040,0.00,2.85,4.69,0.00,0.19,0.22,0.00,0.080,0.050,1.000,0.45,1.19,0.00
KC,4/23/2013,6:50,D,S,M,IM,0.006,26.74,294.00,0.03,7.35,187.50,178.45,0.010,0.009,0.00,0.090,0.105,0.00,0.49,0.50,0.00,17.56,24.22,0.00,0.003,0.007,0.00,2.84,4.13,0.00,0.21,0.27,0.00,0.050,0.090,0.000,0.32,0.65,0.00
KC,5/10/2013,7:00,D,S,M,IM,0.006,26.48,272.00,15.60,6.12,188.60,175.00,0.007,0.010,0.00,0.090,0.080,1.00,0.88,0.55,1.00,18.90,38.60,0.00,0.003,0.038,0.00,2.73,5.69,0.00,0.22,0.21,1.00,0.050,0.070,0.000,0.30,1.37,0.00
KC,5/21/2013,7:35,D,S,M,IM,0.005,.,268.00,0.03,5.86,188.60,181.60,0.003,0.003,0.00,0.080,0.080,0.00,0.71,0.52,1.00,32.01,46.41,0.00,0.003,0.015,0.00,5.11,6.15,0.00,0.39,0.40,0.00,0.120,0.110,1.000,59.69,69.00,0.00
LCC,4/9/2012,10:30,D,S,S,IM,0.005,19.16,199.00,0.03,4.06,163.20,138.80,0.003,0.003,0.00,0.070,0.080,0.00,0.29,0.45,0.00,54.23,128.53,0.00,0.003,0.020,0.00,6.05,10.48,0.00,0.12,0.13,0.00,0.030,0.040,0.000,18.67,23.70,0.00
LCC,4/23/2012,11:30,D,S,S,IM,0.005,18.34,202.70,1.30,3.74,161.20,134.50,0.003,0.003,0.00,0.080,0.090,0.00,0.12,0.15,0.00,68.95,151.85,0.00,0.003,0.021,0.00,7.03,14.60,0.00,0.05,0.06,0.00,0.060,0.030,1.000,19.80,24.12,0.00
LCC,5/7/2012,11:15,D,S,S,IM,0.005,18.28,238.00,0.50,3.46,165.25,139.50,0.003,0.003,0.00,0.130,0.070,1.00,0.16,0.20,0.00,66.77,123.09,0.00,0.003,0.015,0.00,7.15,11.95,0.00,0.07,0.06,1.00,0.030,0.030,0.000,25.87,30.13,0.00
LCC,5/21/2012,11:15,D,S,S,IM,0.004,19.18,249.30,0.03,3.52,172.20,145.10,0.003,0.003,0.00,0.090,0.090,0.00,0.22,0.18,1.00,61.33,99.22,0.00,0.006,0.014,0.00,6.64,12.23,0.00,0.10,0.11,0.00,0.030,0.040,0.000,0.57,0.68,0.00
